logEC50,smile,Cation,Anion
3.19,COCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2.865,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1.66,CCCC[P+](CCCC)(CCCC)CCCC.[Br-],CCCC[P+](CCCC)(CCCC)CCCC,[Br-]
1.58,CCCCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2.15,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
3.4,CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCOC[n+]1cccc(O)c1,CCCCCCOC[n+]1cccc(O)c1,CC1=CC(=O)[N-]S(=O)(=O)O1
4.4903303265000005,O=C[O-].[NH3+]CCCO,[NH3+]CCCO,O=C[O-]
2.03,C[N+](C)(C)C.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C[N+](C)(C)C,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
3.34,COCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.64,C[N+]1(Cc2ccccc2)CCOCC1.O=S(=O)([O-])O,C[N+]1(Cc2ccccc2)CCOCC1,O=S(=O)([O-])O
1.49,CCCCCCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,CCCCCCCC[n+]1ccc(C)cc1,F[B-](F)(F)F
1.6,CCCCCCCC[n+]1ccn(C)c1.[Cl-],CCCCCCCC[n+]1ccn(C)c1,[Cl-]
2.665,C[N+]1(CCCO)CCCCC1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,C[N+]1(CCCO)CCCCC1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
3.842238588,CCOC(=O)C[N+]1(C)CCCC1.[Br-],CCOC(=O)C[N+]1(C)CCCC1,[Br-]
3.12,CCOC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
