Name,Tm,smiles,Cation,Anion,reference
"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",299.0,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Cn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Molecules 2021, 26(9), 2454"
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,269.0,CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Molecules 2021, 26(9), 2454"
1-propylpyridinium dicyanamide,281.0,CCC[n+]1ccccc1.N#C[N-]C#N,CCC[n+]1ccccc1,N#C[N-]C#N,"Molecules 2021, 26(9), 2454"
1-ethyl-3-methylimidazolium chloride,357.0,CCn1cc[n+](C)c1.[Cl-],CCn1cc[n+](C)c1,[Cl-],"Molecules 2021, 26(9), 2454"
4-methyl-n-butyl pyridinium benzoate,284.0,CCCCC[n+]1ccccc1.O=C([O-])c1ccccc1,CCCCC[n+]1ccccc1,O=C([O-])c1ccccc1,"Molecules 2021, 26(9), 2454"
Tri-ethylsulfonium bis((trifluoromethyl)sulfonyl)imide,259.2212389,CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[S+](CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-butyl-1-ethylpyrrolidinium ethyl sulfate,326.0,CCCC[N+]1(CC)CCCC1.CCOS(=O)(=O)[O-],CCCC[N+]1(CC)CCCC1,CCOS(=O)(=O)[O-],"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-propylpyridinium bis((trifluoromethyl)sulfonyl)amide,318.0,CCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Molecules 2021, 26(9), 2454"
1-Hexyl-3-methylimidazolium pentafluoroethyltrifluoroborate,263.1873727,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,CCCCCCn1cc[n+](C)c1,F[B-](F)(F)C(F)(F)C(F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
trihexyl(tetradecyl)phosphonium acetate,206.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CC(=O)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CC(=O)[O-],"Molecules 2021, 26(9), 2454"
"4,5-Dimethyl-1-aminotetrazolium perchlorate",324.0917266,Cc1n(C)nn[n+]1N.[O-][Cl+3]([O-])([O-])[O-],Cc1n(C)nn[n+]1N,[O-][Cl+3]([O-])([O-])[O-],"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-butyl-3-methylimidazolium hydroquinone sulfonate,232.15,"CCCCn1cc[n+](C)c1,O=S(=O)([O-])c1cc(O)ccc1O",CCCCn1cc[n+](C)c1,O=S(=O)([O-])c1cc(O)ccc1O,"Z. Dai et al., Melting points of ionic liquids: Review and evaluation, Green Energy and Environment"
1-octyl-3-[3-(diethoxyphosphinyl) propyl]-1h-imidazolium tetrafluoroborate,209.0,CCCCCCCCn1cc[n+](CCCP(=O)(OCC)OCC)c1.F[B-](F)(F)F,CCCCCCCCn1cc[n+](CCCP(=O)(OCC)OCC)c1,F[B-](F)(F)F,"Molecules 2021, 26(9), 2454"
1-(2-Hydroxyethyl)-3-methylimidazolium  chloride,333.95,C[n+]1ccn(CCO)c1.[Cl-],C[n+]1ccn(CCO)c1,[Cl-],"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,253.0,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Molecules 2021, 26(9), 2454"
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,271.0,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Molecules 2021, 26(9), 2454"
1-ethyl-3-methylimidazolium tetrafluoroborate,287.0,CCn1cc[n+](C)c1.F[B-](F)(F)F,CCn1cc[n+](C)c1,F[B-](F)(F)F,"Molecules 2021, 26(9), 2454"
trimethyl-isopropylammonium bis(trifluoromethylsulfonyl)imide,402.15,CC(C)[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC(C)[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-dodecyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,290.0,CCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Molecules 2021, 26(9), 2454"
"1-heptyl-4-(1-fluoroethyl)-1,2,4-triazolium tetrafluoroborate",325.0,CCCCCCC[n+]1cn(C(C)F)cn1.F[B-](F)(F)F,CCCCCCC[n+]1cn(C(C)F)cn1,F[B-](F)(F)F,"Molecules 2021, 26(9), 2454"
n-methyl-n-butyl-pyrrolidinium mesylate,336.0,CCCC[N+]1(C)CCCC1.CS(=O)(=O)[O-],CCCC[N+]1(C)CCCC1,CS(=O)(=O)[O-],"Molecules 2021, 26(9), 2454"
4-butyl-4-methylmorpholinium bromide,485.0,CCCC[N+]1(C)CCOCC1.[Br-],CCCC[N+]1(C)CCOCC1,[Br-],"Molecules 2021, 26(9), 2454"
N-methyl-N-propyl-pyrrolidinium bis((trifluoromethyl)sulfonyl)imide,279.1555556,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-Butyl-3-ethylimidazolium perfluorobutylsulfonate,294.0904807,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCn1cc[n+](CC)c1,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
methyltrioctylammonium trifluoroacetate,285.62,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=C([O-])C(F)(F)F,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=C([O-])C(F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,269.0,CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Molecules 2021, 26(9), 2454"
L-phenylalanine ethyl ester bis(perfluoroethylsulfonyl)imide,372.88,CCOC(=O)[C@@H]([NH3+])Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCOC(=O)[C@@H]([NH3+])Cc1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
trimethylsulfonium bis(trifluoromethylsulfonyl)imide,322.0,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[S+](C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Molecules 2021, 26(9), 2454"
tributyl-hexylammonium dicyanoamide,230.0,CCCCCC[N+](CCCC)(CCCC)CCCC.N#C[N-]C#N,CCCCCC[N+](CCCC)(CCCC)CCCC,N#C[N-]C#N,"Molecules 2021, 26(9), 2454"
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,259.0,CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,CCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F,"Molecules 2021, 26(9), 2454"
Tetrahexylammonium bis((trifluoromethyl) sulfonyl)imide,265.0929368,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-ethyl-3-methylimidazolium chloride,354.0,CCn1cc[n+](C)c1.[Cl-],CCn1cc[n+](C)c1,[Cl-],"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
"n-decyl-n,n-dimethyldecan-1-aminium n-cyclohexylsulfamate",324.0,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.O=S(=O)([O-])NC1CCCCC1,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,O=S(=O)([O-])NC1CCCCC1,"Molecules 2021, 26(9), 2454"
1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,269.0,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,CCC[N+]1(C)CCCC1,O=S(=O)(F)[N-]S(=O)(=O)F,"Molecules 2021, 26(9), 2454"
"1-amino-4-methyl-1,2,4-triazolium perchlorate",381.0,Cn1cn[n+](N)c1.[O-][Cl+3]([O-])([O-])[O-],Cn1cn[n+](N)c1,[O-][Cl+3]([O-])([O-])[O-],"Molecules 2021, 26(9), 2454"
"N,N,N-triethyl-N-octylammonium tetrafluoroborate",374.55,CCCCCCCC[N+](CC)(CC)CC.F[B-](F)(F)F,CCCCCCCC[N+](CC)(CC)CC,F[B-](F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-Hydrocinnamyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,321.3111342,C[n+]1ccn(CCCc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[n+]1ccn(CCCc2ccccc2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
