"T","P",SMILES,co2,Cation,Anion
303.15,720.5,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.1652,CCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
338.25,893.0,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,0.0804,CC[n+]1ccn(C)c1,N#C[C-](C#N)C#N
323.15,1100.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.183,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
303.11,3778.0,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.56,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
353.25,11510.0,CCOn1cc[n+](OCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.626,CCOn1cc[n+](OCC)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
373.15,6650.0,CN1C=C[NH+](C)C1.CP(=O)([O-])O,0.162,CN1C=C[NH+](C)C1,CP(=O)([O-])O
323.15,191.0,CCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0422,CCCCCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.15,17400.0,CCCC[n+]1ccn(C)c1.COCCOCCOS(=O)(=O)[O-],0.6835,CCCC[n+]1ccn(C)c1,COCCOCCOS(=O)(=O)[O-]
302.6,18600.0,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.7575,CCCC[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
283.15,42.8,C=C[n+]1ccn(CCCC)c1.NCC(=O)[O-],0.187,C=C[n+]1ccn(CCCC)c1,NCC(=O)[O-]
323.15,770.0,CCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.184,CCCCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
333.15,1925.0,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],0.748,CCCCCC[n+]1ccn(C)c1,O=[N+]([O-])[O-]
298.1,970.0,CCCC[n+]1ccc(C)cc1.N#C[C-](C#N)C#N,0.269,CCCC[n+]1ccc(C)cc1,N#C[C-](C#N)C#N
298.15,12090.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.894,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
353.15,5162.6,CC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,0.409,CC[n+]1ccn(C)c1,N#C[B-](C#N)(C#N)C#N
298.2,100.1,CCC(=O)[O-].CCCCN1C=C[NH+](C)C1,0.218,CCCCN1C=C[NH+](C)C1,CCC(=O)[O-]
298.15,14.2,CCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.0047,CCCCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
323.2,3890.0,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,0.332,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)C(F)F
317.45,6390.0,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,2.78,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F
333.25,699.9,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],0.047,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-]
313.2,6230.0,CCCCCCS(=O)(=O)OF.CCCC[n+]1ccn(C)c1,0.597,CCCC[n+]1ccn(C)c1,CCCC[n+]1ccn(C)c1
313.2,2680.0,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.401,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
