"T","P",SMILES,co2,Cation,Anion
318.15,1399.9,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.235,CCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.2,1326.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.302,CCCCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
303.85,3100.0,CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,0.4141,CCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F
338.15,5100.0,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.479,CCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.15,99.9,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0272,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
302.99,630.0,CCCC[n+]1ccc(C)cc1.N#C[C-](C#N)C#N,0.169,CCCC[n+]1ccc(C)cc1,N#C[C-](C#N)C#N
343.35,3950.0,CCCCN1C=C[NH+](CCCC)C1.CS(=O)(=O)[O-],0.2861,CCCCN1C=C[NH+](CCCC)C1,CS(=O)(=O)[O-]
323.2,11200.0,CCCCCCS(=O)(=O)OF.CCCC[n+]1ccn(C)c1,0.901,CCCC[n+]1ccn(C)c1,CCCC[n+]1ccn(C)c1
283.15,850.0,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.171,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F
323.18,1411.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.2559,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.3,5758.0,CCCC[n+]1ccn(C)c1.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,0.639,CCCC[n+]1ccn(C)c1,O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F
283.1,9.89,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.00194,CCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.2,700.0,CC[n+]1ccn(C)c1.N#C[N-]C#N,0.086,CC[n+]1ccn(C)c1,N#C[N-]C#N
303.15,520.0,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.1863,CCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.15,660.0,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,0.144,CCCC[N+]1(C)CCCC1,N#C[C-](C#N)C#N
353.26,1280.0,COS(=O)(=O)[O-].C[N+](CCO)(CCO)CCO.C[NH3+],0.03,C[N+](CCO)(CCO)CCO,COS(=O)(=O)[O-]
343.15,12050.0,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],0.3971,CCCC[n+]1ccn(C)c1,CS(=O)(=O)[O-]
303.15,42800.0,CCCCCC[n+]1ccn(C)c1.N#C[S-],0.562,CCCCCC[n+]1ccn(C)c1,N#C[S-]
323.15,2023.0,CCCC[n+]1ccccc1.N#C[N-]C#N,0.19,CCCC[n+]1ccccc1,N#C[N-]C#N
318.0,1495.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.2211,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
303.15,39.2,C=C[n+]1ccn(CCCC)c1.NC(Cc1c[nH]cn1)C(=O)[O-],0.071,C=C[n+]1ccn(CCCC)c1,NC(Cc1c[nH]cn1)C(=O)[O-]
303.51,2595.0,Cn1cc[n+](CCCO)c1.O=[N+]([O-])[O-],0.1433,Cn1cc[n+](CCCO)c1,O=[N+]([O-])[O-]
293.33,1325.0,CCCCCC[n+]1ccn(C)c1.N#C[B-](C#N)(C#N)C#N,0.3251,CCCCCC[n+]1ccn(C)c1,N#C[B-](C#N)(C#N)C#N
333.15,88000.0,CCCC[N+]1(C)CCCC1.COS(=O)(=O)[O-],0.6049,CCCC[N+]1(C)CCCC1,COS(=O)(=O)[O-]
318.04,59900.0,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.703,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F
323.2,8750.0,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([O-])C(F)(F)C(F)F,0.473,Cn1cc[n+](Cc2ccccc2)c1,O=S(=O)([O-])C(F)(F)C(F)F
303.18,12808.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.84,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.15,2870.0,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.355,CCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
323.15,14700.0,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.7249,CCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
374.7,7060.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1.459,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
333.15,688.0,CCCC[n+]1ccccc1.F[B-](F)(F)F,0.076,CCCC[n+]1ccccc1,F[B-](F)(F)F
353.08,47850.0,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.75,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
338.15,799.9,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.108,CCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.19,7409.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.6485,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.2,590.0,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.124,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
303.31,6208.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.806,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
353.25,195.0,CCCC[n+]1ccn(C)c1.N#CC(C#N)C#N,0.017,CCCC[n+]1ccn(C)c1,N#CC(C#N)C#N
283.15,97.9,C=C[n+]1ccn(CCCC)c1.NC(Cc1c[nH]cn1)C(=O)[O-],0.313,C=C[n+]1ccn(CCCC)c1,NC(Cc1c[nH]cn1)C(=O)[O-]
303.15,7900.0,CC[NH+]1C=CN(C)C1.N#C[C-](C#N)C#N,0.617,CC[NH+]1C=CN(C)C1,N#C[C-](C#N)C#N
313.15,4195.8,CCCCCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.55,CCCCCCC[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.15,2196.9,CCCCCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.379,CCCCCCC[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
303.9,3500.0,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.541,CCCC[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.15,200.0,C=C[n+]1ccn(CCCC)c1.N=C(N)NCCCC(N)C(=O)[O-],0.248,C=C[n+]1ccn(CCCC)c1,N=C(N)NCCCC(N)C(=O)[O-]
298.2,5621.0,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],0.407,CCCC[n+]1ccn(C)c1,O=[N+]([O-])[O-]
413.15,438.0,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,0.02,CC[n+]1ccn(C)c1,CCOS(=O)(=O)[O-]
323.15,750.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.0845,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
354.03,5940.0,CC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.501,CC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
318.12,2070.0,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.1998,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F
323.15,634.2,C[n+]1ccn(CCO)c1.F[P-](F)(F)(F)(F)F,0.055,C[n+]1ccn(CCO)c1,F[P-](F)(F)(F)(F)F
343.3,4836.0,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.418,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
288.15,1992.0,CCCC[n+]1ccn(C)c1.N#CC(C#N)C#N,0.3725,CCCC[n+]1ccn(C)c1,N#CC(C#N)C#N
333.2,18280.0,CCCC[P+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.751,CCCC[P+](C)(CCCC)CCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.15,620.0,CCCCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.2409,CCCCCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
303.2,3380.0,CCCCCCS(=O)(=O)OF.CCCC[n+]1ccn(C)c1,0.404,CCCC[n+]1ccn(C)c1,CCCC[n+]1ccn(C)c1
313.15,459.5,C[n+]1ccn(CCO)c1.F[P-](F)(F)(F)(F)F,0.045,C[n+]1ccn(CCO)c1,F[P-](F)(F)(F)(F)F
323.2,1900.0,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.F[B-](F)(F)F,0.189,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC,F[B-](F)(F)F
303.17,973.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.N#C[N-]C#N,0.242,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,N#C[N-]C#N
333.1,1000.0,C=CC(=O)NC(C)(C)CS(=O)(=O)[O-].CC[n+]1ccn(C)c1,0.367,CC[n+]1ccn(C)c1,C=CC(=O)NC(C)(C)CS(=O)(=O)[O-]
313.2,659.0,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],0.07,CCCC[P+](C)(CCCC)CCCC,COS(=O)(=O)[O-]
282.0,1284.4,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.417,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
343.15,6000.0,CC[n+]1ccn(C)c1.F[B-](F)(F)F,0.2732,CC[n+]1ccn(C)c1,F[B-](F)(F)F
298.15,499.9,CCCC[P+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.131,CCCC[P+](C)(CCCC)CCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.22,531.0,CC(O)C(=O)[O-].C[N+](C)(C)CCO,0.063,C[N+](C)(C)CCO,CC(O)C(=O)[O-]
363.15,12670.0,CC[n+]1ccn(C)c1.[Cl-],0.283,CC[n+]1ccn(C)c1,[Cl-]
323.15,31200.0,CC[NH+]1C=CN(C)C1.N#C[C-](C#N)C#N,0.653,CC[NH+]1C=CN(C)C1,N#C[C-](C#N)C#N
323.65,900.0,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],0.0517,CCCC[n+]1ccn(C)c1,CS(=O)(=O)[O-]
373.2,19700.0,CCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.749,CCCCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
333.46,9170.0,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC.[Na+],0.795,CCCC[N+](CCCC)(CCCC)CCCC,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-]
343.17,64220.0,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,0.601,CCCC[n+]1ccn(C)c1,N#C[N-]C#N
313.15,700.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.131,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
317.45,5360.0,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,2.62,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F
298.15,1800.0,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.39,CCCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
318.15,3920.0,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.494,CCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
347.78,2026.0,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,0.0901,CC[n+]1ccn(C)c1,CCOS(=O)(=O)[O-]
313.15,2929.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.294,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
353.15,48000.0,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,0.594,CCCC[n+]1ccn(C)c1,N#C[N-]C#N
323.15,84600.0,CCCC[N+]1(C)CCCC1.COS(=O)(=O)[O-],0.6049,CCCC[N+]1(C)CCCC1,COS(=O)(=O)[O-]
296.7,500.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.128,CCCCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.15,37.15,CN1CCCC1=O.O=C([O-])C(F)(F)F,0.00564,O=C([O-])C(F)(F)F,O=C([O-])C(F)(F)F
323.0,30000.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],0.000102,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,[Cl-]
373.2,8920.0,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([O-])C(F)(F)C(F)F,0.346,Cn1cc[n+](Cc2ccccc2)c1,O=S(=O)([O-])C(F)(F)C(F)F
318.13,4980.0,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.501,CCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
313.42,5227.0,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.505,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F
450.46,13150.0,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.392,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.15,5438.0,CCOP(=O)([O-])OCC.CCn1cc[n+](C)c1,0.333,CCn1cc[n+](C)c1,CCOP(=O)([O-])OCC
343.15,399.3,C[NH+]1C=CN(CCCO)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.045,C[NH+]1C=CN(CCCO)C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
358.53,1310.0,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.098,CCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
298.15,200.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.0355,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
298.15,1200.0,CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,0.241,CCC[N+]1(C)CCCC1,O=S(=O)(F)[N-]S(=O)(=O)F
322.5,4410.0,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,0.3832,CCCC[N+]1(C)CCCC1,N#C[N-]C#N
308.6,3700.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,2.136,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
333.15,860.0,CCCCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.2409,CCCCCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
343.15,5070.0,CC(=O)[O-].CC[n+]1ccn(C)c1,0.461,CC[n+]1ccn(C)c1,CC(=O)[O-]
298.15,1992.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.4265,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
303.3,49.33,CCCCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.014913,CCCCCC[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
334.05,6480.0,CCOn1cc[n+](OCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.554,CCOn1cc[n+](OCC)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
283.18,400.0,CCCCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.136,CCCCCC[n+]1cccc(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
308.43,1400.0,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.198,CCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
328.25,5560.0,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.404,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F
353.15,59900.0,CC[n+]1ccn(C)c1.N#C[N-]C#N,0.545,CC[n+]1ccn(C)c1,N#C[N-]C#N
308.15,94.0,CCCCCCCCn1cc[n+](C)c1.N#C[C-](C#N)C#N,0.0173,CCCCCCCCn1cc[n+](C)c1,N#C[C-](C#N)C#N
333.2,10300.0,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.F[B-](F)(F)F,0.792,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC,F[B-](F)(F)F
283.94,837.0,CC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.3012,CC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
323.15,893.0,CCCCCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,0.1256,CCCCCCC[n+]1ccn(C)c1,N#C[C-](C#N)C#N
333.1,7700.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.717,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
353.15,15800.0,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,0.475,CCCC[n+]1ccn(C)c1,N#C[N-]C#N
293.15,522.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.1657,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
393.15,2634.0,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.214,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
313.2,10620.0,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.765,CCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.15,99.9,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0168,CCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.15,1277.7,CC[N+](C)(C)CCOCCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.262,CC[N+](C)(C)CCOCCOC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
368.16,3620.0,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.201,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F
323.15,7000.0,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.55,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F
343.15,42180.0,CC[n+]1ccn(C)c1.N#C[S-],0.435,CC[n+]1ccn(C)c1,N#C[S-]
353.15,8030.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CCCCCCCCCCCCOS(=O)(=O)c1ccccc1,0.6702,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CCCCCCCCCCCCOS(=O)(=O)c1ccccc1
347.94,6495.0,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,0.2089,CC[n+]1ccn(C)c1,CCOS(=O)(=O)[O-]
313.25,2570.0,CCOn1cc[n+](OCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.396,CCOn1cc[n+](OCC)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
324.15,960.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.3019,CCCCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.18,253.0,CCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.116,CCCCC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
298.2,5960.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.76,CCCCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
313.15,21000.0,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.76,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F
298.2,700.0,CCCCCC[n+]1ccn(C)c1.[Cl-],0.056,CCCCCC[n+]1ccn(C)c1,[Cl-]
324.15,21500.0,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.8117,CCCCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
283.15,150.0,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,0.0357,CCCC[n+]1ccn(C)c1C,F[B-](F)(F)F
343.15,9.9,CCC[N+](C)(CC)CC.O=S(=O)(F)[N-]S(=O)(=O)F,0.002,CCC[N+](C)(CC)CC,O=S(=O)(F)[N-]S(=O)(=O)F
313.15,6060.0,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.616,CCCC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.15,1223.5,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,0.599,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
348.11,3969.0,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.2992,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F
328.13,4871.0,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.4149,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F
298.15,247.1,CC[n+]1ccn(C)c1.F[B-](F)(F)F,0.168,CC[n+]1ccn(C)c1,F[B-](F)(F)F
293.15,1904.0,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1.369,CCCCCC[n+]1ccn(C)c1,O=[N+]([O-])[O-]
308.15,993.0,CC[NH+]1C=CN(C)C1.N#C[C-](C#N)C#N,0.138,CC[NH+]1C=CN(C)C1,N#C[C-](C#N)C#N
313.15,5770.0,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.469,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F
333.2,136.0,CC1(C(=O)[O-])CCCN1.CCCC[P+](CCCC)(CCCC)CCCC,0.488,CCCC[P+](CCCC)(CCCC)CCCC,CC1(C(=O)[O-])CCCN1
323.15,8400.0,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.66,CCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
298.2,2120.0,CCCCCCS(=O)(=O)OF.CCCC[n+]1ccn(C)c1,0.202,CCCC[n+]1ccn(C)c1,CCCC[n+]1ccn(C)c1
363.35,3550.0,CCCC[n+]1ccn(C)c1.N#C[S-],0.126,CCCC[n+]1ccn(C)c1,N#C[S-]
313.15,400.0,C=C[n+]1ccn(CCCC)c1.O=C([O-])C1CCCN1,0.148,C=C[n+]1ccn(CCCC)c1,O=C([O-])C1CCCN1
