T,P,vis,SMILES,Cation,Anion
303.15,101.325,-0.729811165,CCCCCC[n+]1ccc(C#N)cc1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCC[n+]1ccc(C#N)cc1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
348.15,101.0,-3.755874323,CC(N)C(=O)[O-].CCn1cc[n+](C)c1,CCn1cc[n+](C)c1,CC(N)C(=O)[O-]
343.15,101.325,-3.955974893,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCn1cc[n+](CCCCCC)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.15,101.0,-3.415042788,CCCC[n+]1ccccc1.F[B-](F)(F)F,CCCC[n+]1ccccc1,F[B-](F)(F)F
328.15,101.325,-6.475972863,CC(=O)[O-].C[NH+]1CCCC1=O,C[NH+]1CCCC1=O,CC(=O)[O-]
297.9,101.0,-0.536143432,Brc1cnc[n-]1.CCCCCCCC[P+](CC)(CC)CC,CCCCCCCC[P+](CC)(CC)CC,Brc1cnc[n-]1
303.0,101.325,0.185566287,CCCC[N+](C)(CCCC)CCCC.F[B-](F)(F)c1ccccc1,CCCC[N+](C)(CCCC)CCCC,F[B-](F)(F)c1ccccc1
328.15,101.325,-3.040729639,CCCCn1cc[n+](C)c1.[O-][Cl+3]([O-])([O-])[O-],CCCCn1cc[n+](C)c1,[O-][Cl+3]([O-])([O-])[O-]
353.15,101.3,-4.69673738,CCCCCCn1cc[n+](C)c1.N#CN=C=[N-],CCCCCCn1cc[n+](C)c1,N#CN=C=[N-]
313.15,101.325,-2.667580269,CCn1cc[n+](C)c1.CS(=O)(=O)[O-],CCn1cc[n+](C)c1,CS(=O)(=O)[O-]
283.15,101.325,0.300104592,CC[N+](C)(CC)CCOC.F[B-](F)(F)F,CC[N+](C)(CC)CCOC,F[B-](F)(F)F
308.15,101.325,-3.088944655,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](C)(CC)CCOC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
328.15,101.325,-2.603690186,CCCCCCn1cc[n+](C)c1.[c-]1c[nH]nn1,CCCCCCn1cc[n+](C)c1,[c-]1c[nH]nn1
328.15,101.325,-3.543567723,CCCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
338.15,101.325,-6.706448422,C[NH+]1CCCC1=O.O=C[O-],C[NH+]1CCCC1=O,O=C[O-]
